file_name, minor, major, total, ownership, num_of_bugs
lucene/facet/src/test/org/apache/lucene/facet/taxonomy/TestCategoryPath.java,0, 2, 2, 50.0%, 0
dev-tools/idea/.idea/ant.xml,3, 2, 5, 82.14%, 0
solr/core/src/test-files/solr/conf/schema12.xml,0, 5, 5, 33.33%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/NewCollationAnalyzerTask.java,0, 2, 2, 66.67%, 0
solr/core/src/java/org/apache/solr/handler/CSVRequestHandler.java,0, 7, 7, 25.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/sinks/TokenRangeSinkFilter.java,0, 1, 1, 100.0%, 0
solr/example/solr/conf/lang/stopwords_es.txt,0, 1, 1, 100.0%, 0
lucene/analysis/kuromoji/src/java/org/apache/lucene/analysis/ja/tokenattributes/BaseFormAttributeImpl.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/core/TestKeywordAnalyzer.java,0, 3, 3, 50.0%, 0
solr/contrib/clustering/CHANGES.txt,3, 3, 6, 45.45%, 0
solr/core/src/java/org/apache/solr/response/transform/DocIdAugmenterFactory.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/br/package.html,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/util/automaton/SortedIntSet.java,0, 2, 2, 50.0%, 0
lucene/analysis/uima/ivy.xml,0, 1, 1, 100.0%, 0
solr/core/src/test/org/apache/solr/analysis/CommonGramsFilterFactoryTest.java,0, 4, 4, 37.5%, 0
solr/solrj/src/java/org/apache/noggit/JSONParser.java,0, 4, 4, 25.0%, 0
lucene/core/src/java/org/apache/lucene/search/MaxNonCompetitiveBoostAttributeImpl.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/analysis/GermanLightStemFilterFactory.java,0, 3, 3, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/ru/TestRussianLightStemFilter.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/highlight/SolrEncoder.java,0, 2, 2, 50.0%, 0
lucene/test-framework/lib/junit-LICENSE-CPL.txt,0, 1, 1, 100.0%, 0
lucene/facet/src/java/org/apache/lucene/util/encoding/SimpleIntDecoder.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/schema/CollationField.java,0, 5, 5, 42.86%, 0
lucene/core/src/java/org/apache/lucene/search/ScoringRewrite.java,0, 5, 5, 20.0%, 0
solr/core/src/test-files/README,0, 1, 1, 100.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/ru/package.html,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestIndexInput.java,0, 5, 5, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/util/TestCharacterUtils.java,0, 2, 2, 50.0%, 0
solr/webapp/web/tpl/threads.html,0, 3, 3, 50.0%, 0
solr/core/src/test/org/apache/solr/request/TestBinaryResponseWriter.java,0, 2, 2, 66.67%, 0
lucene/queries/src/test/org/apache/lucene/queries/function/FunctionTestSetup.java,0, 2, 2, 50.0%, 0
solr/core/src/test-files/solr/conf/schema_codec.xml,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/shingle/package.html,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/analysis/RemoveDuplicatesTokenFilterFactory.java,0, 3, 3, 33.33%, 0
lucene/grouping/src/java/org/apache/lucene/search/grouping/dv/DVSecondPassGroupingCollector.java,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/util/mutable/MutableValue.java,0, 3, 3, 33.33%, 0
lucene/core/src/test/org/apache/lucene/util/TestVersion.java,0, 3, 3, 33.33%, 0
solr/solrj/src/java/org/apache/solr/common/cloud/HashPartitioner.java,0, 2, 2, 66.67%, 0
solr/core/src/java/org/apache/solr/search/DocSetCollector.java,0, 4, 4, 40.0%, 0
solr/example/solr/conf/lang/stopwords_it.txt,0, 1, 1, 100.0%, 0
lucene/analysis/uima/src/test/org/apache/lucene/analysis/uima/an/SamplePoSTagger.java,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/util/packed/PackedWriter.java,0, 3, 3, 33.33%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/xml/builders/RangeFilterBuilder.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/search/TestSearcherManager.java,0, 6, 6, 33.33%, 0
lucene/facet/src/java/org/apache/lucene/facet/search/cache/CategoryListCache.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/handler/XsltUpdateRequestHandlerTest.java,0, 4, 4, 25.0%, 0
solr/solrj/src/java/org/apache/solr/client/solrj/response/RangeFacet.java,0, 1, 1, 100.0%, 0
dev-tools/maven/solr/contrib/velocity/pom.xml.template,0, 1, 1, 100.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/search/aggregator/package.html,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/analysis/PersianNormalizationFilterFactory.java,0, 4, 4, 40.0%, 0
lucene/highlighter/src/java/org/apache/lucene/search/vectorhighlight/BaseFragListBuilder.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/analysis/GermanNormalizationFilterFactory.java,0, 3, 3, 40.0%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/standard/nodes/NumericQueryNode.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/highlight/SolrFragmentsBuilder.java,0, 3, 3, 50.0%, 0
lucene/test-framework/src/java/org/apache/lucene/util/TestRuleThreadAndTestName.java,0, 2, 2, 50.0%, 0
lucene/analysis/icu/src/java/org/apache/lucene/analysis/icu/segmentation/LaoBreakIterator.java,0, 2, 2, 50.0%, 0
solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/TemplateString.java,0, 2, 2, 66.67%, 0
dev-tools/maven/README.maven,0, 1, 1, 100.0%, 0
solr/contrib/extraction/lib/netcdf-LICENSE-BSD_LIKE.txt,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/index/unsupported.22.nocfs.zip,0, 1, 1, 100.0%, 0
solr/contrib/uima/src/java/org/apache/solr/uima/processor/exception/FieldMappingException.java,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/core/Config.java,0, 5, 5, 28.57%, 0
lucene/core/src/java/org/apache/lucene/search/spans/SpanNotQuery.java,0, 4, 4, 25.0%, 0
solr/solrj/src/test/org/apache/solr/client/solrj/response/TermsResponseTest.java,0, 3, 3, 33.33%, 0
solr/solrj/src/java/org/apache/solr/common/util/Base64.java,0, 2, 2, 50.0%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/RollbackIndexTask.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/search/TestDateSort.java,0, 4, 4, 25.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/hunspell/testCompressed.aff,0, 1, 1, 100.0%, 0
solr/webapp/web/img/ico/ui-accordion.png,0, 1, 1, 100.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/search/params/FacetRequest.java,0, 3, 3, 33.33%, 0
lucene/queries/src/java/org/apache/lucene/queries/function/valuesource/IntFieldSource.java,0, 3, 3, 33.33%, 0
lucene/core/src/java/org/apache/lucene/search/PhraseQueue.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/util/makeEuroparlLineFile.py,0, 1, 1, 100.0%, 0
solr/core/src/test-files/solr/conf/stopwords.txt,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/index/ThreadAffinityDocumentsWriterThreadPool.java,0, 4, 4, 40.0%, 0
solr/solrj/src/java/org/apache/solr/common/cloud/SafeStopThread.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/store/MMapDirectory.java,0, 4, 4, 40.0%, 1
lucene/analysis/common/src/resources/org/apache/lucene/analysis/snowball/dutch_stop.txt,0, 1, 1, 100.0%, 0
lucene/highlighter/src/java/org/apache/lucene/search/highlight/NullFragmenter.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/search/similarities/LambdaTTF.java,0, 2, 2, 50.0%, 0
lucene/spatial/lib/spatial4j-NOTICE.txt,0, 1, 1, 100.0%, 0
solr/solrj/src/test/org/apache/solr/client/solrj/response/QueryResponseTest.java,0, 3, 3, 57.14%, 0
solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/URLDataSource.java,0, 2, 2, 66.67%, 0
solr/contrib/langid/src/resources/org/apache/solr/update/processor/langdetect-profiles/de,0, 1, 1, 100.0%, 0
solr/contrib/langid/src/resources/org/apache/solr/update/processor/langdetect-profiles/da,0, 1, 1, 100.0%, 0
solr/core/src/test/org/apache/solr/analysis/TestDictionaryCompoundWordTokenFilterFactory.java,0, 4, 4, 50.0%, 0
solr/core/src/java/org/apache/solr/schema/RandomSortField.java,0, 5, 5, 28.57%, 0
lucene/core/src/java/org/apache/lucene/codecs/appending/AppendingTermsReader.java,0, 3, 3, 33.33%, 0
solr/core/src/java/org/apache/solr/analysis/ASCIIFoldingFilterFactory.java,0, 4, 4, 40.0%, 0
lucene/core/src/java/org/apache/lucene/index/DocFieldConsumer.java,0, 3, 3, 33.33%, 0
solr/webapp/web/img/ico/network-status-offline.png,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/util/TestNamedSPILoader.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/handler/admin/LoggingHandlerTest.java,0, 2, 2, 50.0%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/feeds/EnwikiQueryMaker.java,0, 2, 2, 50.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestParallelReaderEmptyIndex.java,0, 6, 6, 40.0%, 0
solr/core/src/test/org/apache/solr/cloud/ChaosMonkey.java,0, 3, 3, 60.0%, 0
solr/webapp/web/img/ico/system-monitor--exclamation.png,0, 1, 1, 100.0%, 0
lucene/core/src/java/org/apache/lucene/search/similarities/BasicModelIF.java,0, 2, 2, 50.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/doc-files/prettify.js,0, 1, 1, 100.0%, 0
solr/example/solr/conf/lang/stopwords_sv.txt,0, 1, 1, 100.0%, 0
lucene/core/src/test/org/apache/lucene/index/TestSnapshotDeletionPolicy.java,0, 4, 4, 25.0%, 0
lucene/analysis/common/src/resources/org/apache/lucene/analysis/snowball/finnish_stop.txt,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/search/Grouping.java,0, 5, 5, 61.54%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/util/StopwordAnalyzerBase.java,0, 2, 2, 50.0%, 0
lucene/sandbox/src/java/org/apache/lucene/sandbox/queries/SlowCollatedTermRangeQuery.java,0, 2, 2, 50.0%, 0
lucene/queries/src/java/org/apache/lucene/queries/function/valuesource/RangeMapFloatFunction.java,0, 2, 2, 50.0%, 0
solr/example/example-DIH/solr/tika/conf/schema.xml,0, 2, 2, 66.67%, 0
lucene/test-framework/src/java/org/apache/lucene/index/DocHelper.java,0, 3, 3, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/standard/ClassicAnalyzer.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/pt/PortugueseLightStemmer.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/core/CachingDirectoryFactory.java,0, 2, 2, 50.0%, 0
solr/solrj/src/test/org/apache/solr/client/solrj/SolrExampleXMLTest.java,0, 2, 2, 50.0%, 0
dev-tools/idea/.idea/workspace.xml,3, 2, 5, 75.51%, 0
lucene/analysis/icu/src/test/org/apache/lucene/analysis/icu/segmentation/TestWithCJKBigramFilter.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/search/spans/SpanMultiTermQueryWrapper.java,0, 4, 4, 40.0%, 0
lucene/analysis/kuromoji/src/test/org/apache/lucene/analysis/ja/TestJapaneseReadingFormFilter.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/search/SolrQueryParser.java,0, 6, 6, 20.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/search/TopKInEachNodeHandler.java,0, 2, 2, 66.67%, 0
solr/core/src/test/org/apache/solr/highlight/DummyHighlighter.java,0, 2, 2, 50.0%, 0
lucene/analysis/uima/src/java/org/apache/lucene/analysis/uima/ae/package.html,0, 1, 1, 100.0%, 0
lucene/queryparser/src/test/org/apache/lucene/queryparser/flexible/spans/SpansValidatorQueryNodeProcessor.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/schema/TestOmitPositions.java,0, 2, 2, 50.0%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ResetSystemEraseTask.java,0, 2, 2, 50.0%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/xml/FilterBuilderFactory.java,0, 2, 2, 50.0%, 0
lucene/benchmark/src/java/org/apache/lucene/benchmark/byTask/tasks/ClearStatsTask.java,0, 2, 2, 50.0%, 0
solr/contrib/dataimporthandler/src/test/org/apache/solr/handler/dataimport/TestSolrEntityProcessorUnit.java,0, 4, 4, 25.0%, 0
solr/core/src/test/org/apache/solr/search/TestIndexSearcher.java,0, 5, 5, 55.56%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/fr/FrenchMinimalStemFilter.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/search/grouping/GroupingSpecification.java,0, 1, 1, 100.0%, 0
lucene/benchmark/conf/createLineFile.alg,0, 1, 1, 100.0%, 0
solr/core/src/test-files/solr/conf/schema-stop-keep.xml,0, 2, 2, 50.0%, 0
lucene/spatial/src/java/org/apache/lucene/spatial/util/ValueSourceFilter.java,0, 1, 1, 100.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/ngram/NGramTokenFilter.java,0, 2, 2, 50.0%, 0
dev-tools/idea/solr/contrib/extraction/extraction.iml,0, 1, 1, 100.0%, 0
solr/scripts/rsyncd-enable,0, 1, 1, 100.0%, 0
solr/solrj/src/java/org/apache/solr/client/solrj/response/FieldAnalysisResponse.java,0, 2, 2, 50.0%, 0
lucene/core/src/java/org/apache/lucene/index/FilterAtomicReader.java,0, 5, 5, 36.36%, 0
solr/contrib/clustering/src/test-files/clustering/solr/conf/protwords.txt,0, 1, 1, 100.0%, 0
lucene/highlighter/src/test/org/apache/lucene/search/vectorhighlight/SingleFragListBuilderTest.java,0, 2, 2, 50.0%, 0
solr/contrib/contrib-build.xml,0, 3, 3, 66.67%, 0
solr/contrib/analysis-extras/lib/icu4j-LICENSE-BSD_LIKE.txt,0, 1, 1, 100.0%, 0
solr/contrib/dataimporthandler/src/java/org/apache/solr/handler/dataimport/XPathRecordReader.java,0, 3, 3, 50.0%, 0
lucene/spatial/src/test/org/apache/lucene/spatial/StrategyTestCase.java,0, 2, 2, 50.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/sv/SwedishAnalyzer.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/analysis/DictionaryCompoundWordTokenFilterFactory.java,0, 3, 3, 60.0%, 0
solr/example/example-DIH/solr/rss/conf/admin-extra.html,0, 1, 1, 100.0%, 0
solr/solrj/src/java/org/apache/solr/client/solrj/impl/BinaryResponseParser.java,0, 2, 2, 50.0%, 0
solr/core/src/test/org/apache/solr/search/TestFiltering.java,0, 5, 5, 20.0%, 0
lucene/analysis/common/src/java/org/apache/lucene/analysis/lv/LatvianAnalyzer.java,0, 2, 2, 50.0%, 0
solr/solrj/src/java/org/apache/solr/common/cloud/ZkOperation.java,0, 1, 1, 100.0%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/hu/TestHungarianAnalyzer.java,0, 2, 2, 50.0%, 0
lucene/queryparser/src/java/org/apache/lucene/queryparser/flexible/messages/NLS.java,0, 2, 2, 50.0%, 0
lucene/facet/src/java/org/apache/lucene/facet/taxonomy/writercache/cl2o/LabelToOrdinal.java,0, 2, 2, 50.0%, 0
solr/core/src/java/org/apache/solr/analysis/FrenchMinimalStemFilterFactory.java,0, 3, 3, 33.33%, 0
lucene/analysis/common/src/test/org/apache/lucene/analysis/hi/TestHindiAnalyzer.java,0, 2, 2, 50.0%, 0
lucene/core/ivy.xml,0, 1, 1, 100.0%, 0
solr/core/src/java/org/apache/solr/response/transform/ValueAugmenterFactory.java,0, 3, 3, 33.33%, 0
lucene/analysis/smartcn/src/java/org/apache/lucene/analysis/cn/smart/WordSegmenter.java,0, 2, 2, 50.0%, 0
solr/webapp/build.xml,0, 5, 5, 42.86%, 0
